recordType,name,discipline,rank,range,duration,isRitual,isPowerWord,description
spells,Rock Storm,Elementalism,2,Medium,Immediate,false,false,"Manipulating the element of Earth, you hurl stones and rocks at an enemy in combat. The damage from your attack is equal to the power level. Armor works normally."
spells,Flight,Elementalism,2,Engaged,Round,false,false,"Controlling the air around you, you create a small whirlwind that propels you into the air. You can fly for one round, moving two zones instead of one per move action. The casting does not count as an action in itself. For each additional power level you can fly for an additional round or bring another person with you."
spells,Parch,Elementalism,2,Engaged,Immediate,false,false,"Controlling the element of water, you draw the fluids out of a living victim. They immediately suffer damage equal to the power level. Armor has no effect."
spells,Fireball,Elementalism,3,Long,Immediate,false,false,"You hurl a ball of fire which explodes upon hitting the target, incinerating a large area. The main target suffers damage equal to the power level. Everyone within Short range of the main target also suffers the effects of fire with an intensity equal to twice the power level."
spells,Stoneskin,Elementalism,3,Personal,Stretch,false,false,"Manipulating the element of Earth, you cover your body with a layer of living stone, protecting you against damage. You receive an armor rating equal to twice the power level."
spells,Tornado,Elementalism,3,Medium,Immediate,false,false,"Forcing air into a spin, you unleash a powerful whirlwind. Your target is pummeled and suffers damage equal to the power level. You can distribute the damage to several targets in the same zone. Also, everyone in the target zone must make a Force roll to stay standing."
spells,Flood Wave,Elementalism,3,Medium,Immediate,false,false,"Forcing any nearby source of water or snow to do your bidding, you unleash a flood wave or small avalanche against your victims. The targets suffer a total amount of damage equal to the power level — you can distribute the damage as you see fit. All victims who take damage are thrown to the ground."
spells,Entice,Symbolism,1,Medium,Immediate,false,false,"The symbol lures the victim, who must make an Insight roll with a negative modifier equal to the power level. If the roll fails, the victim must move to within Engaged range of the symbol, spending all their normal actions to do so. No effect on monsters."
spells,Horrify,Symbolism,1,Medium,Immediate,false,false,"The symbol awakens a deep fear in the victim, who suffers stress equal to the power level. No effect on monsters."
spells,Paralyze,Symbolism,1,Medium,Immediate,false,false,"The hypnotizing power of the symbol mesmerizes your opponent. At power level 1 the victim loses their fast action. At power level 2 they lose their slow action. At power level 3 they lose both actions. The spell has no effect on monsters."
spells,Blind,Symbolism,2,Medium,Shift,false,false,"The victim must make an Insight roll with a negative modifier equal to the power level. If the roll fails, the symbol blinds the victim. The effect of this blindness is the same as for being in total darkness."
spells,Illusion,Symbolism,2,Medium,Stretch,false,false,"You make the victim see or hear something that isn't there, or hide something that otherwise would be seen. A small item requires power level 1, a humanoid-sized object requires power level 2, and a house-sized illusion requires power level 3. The victim can see through the illusion with an Insight roll with a negative modifier equal to the power level."
spells,Mind Trick,Symbolism,2,Medium,Round,false,true,"You can force an NPC to refrain from an action they would otherwise have performed. It must be a minor action. The spell cannot be used in combat."
spells,Puppeteer,Symbolism,3,Short,Round,false,false,"You can take complete control of your victim's actions. The victim must make an Insight roll with a negative modifier equal to the power level. If the roll fails the victim becomes a puppet. This control only lasts until the victim's next ordinary turn, and covers one fast and one slow action. The spell has no effect on monsters."
spells,Power Rune,Symbolism,3,Engaged,Immediate,true,false,"You can charge a symbol with power. The symbol must be drawn on or carved into an object, which is then charged with a number of Willpower Points equal to the power level. You can use the symbol later to cast spells, emptying its stored Willpower Points."
spells,Portal,Symbolism,3,Short,One shift per power level,true,false,"This powerful ritual tears a hole in the veil between worlds and opens a path between them. This is a very risky undertaking, since you run the risk of running into all sorts of demons and other malevolent creatures on the other side. Another use for this spell is creating a new Portal on the other side, which can lead you anywhere you want."
spells,Magical Seal,Symbolism,1,Engaged,Shift,false,false,"Using this spell, you protect a person or a location (no bigger than a human) from magic. The power level of any spells cast against that person or place is decreased by the power level of the Magical Seal. (General spell — usable by any discipline.)"
spells,Sense Magic,Symbolism,1,Medium,Immediate,false,false,"As a sorcerer or druid, you automatically sense whenever someone uses magic within Short range or if an item you hold is charged with magical power. If you want to know more about what kind of magic is involved, you must cast the Sense Magic spell. This is also required to detect Obscured magic. (General spell — usable by any discipline.)"
spells,Dispel Magic,Symbolism,2,Medium,Immediate,false,true,"You can interfere with the spells cast by other magic users. This spell is reactive and breaks the initiative order. You decrease the power level of your opponent's spell with the power level of your Dispel. If the result is zero or less, your opponent's spell has no effect. (General spell — usable by any discipline.)"
spells,Obscure Magic,Symbolism,2,Personal,Immediate,false,false,"If you want to cast a spell unnoticed, you must Obscure your magic. This requires one extra Willpower Point that does not count toward the power level of the spell. To detect your Obscured spell, another magic user must actively cast Sense Magic. (General spell — usable by any discipline.)"
spells,Bind,Symbolism,3,Personal,Varies,true,false,"Skilled sorcerers and druids can Bind spells to dead objects to create magical traps or powerful artifacts. You cast the spell and choose how many WP to spend, but also spend extra WP to bind it to an object instead of unleashing its power immediately. One additional WP makes the magic linger for one day. Two additional WP makes it last forever until triggered. Five additional WP binds it permanently for once-daily use. (General spell — usable by any discipline.)"
spells,Transfer,Symbolism,3,Engaged,Immediate,false,false,"You can use this spell to steal Willpower Points from others or to give your WP to someone else. The base cost to cast the spell is one WP, and you can then take or give as many WP as you want. If your target opposes the spell, you can Transfer no more WP than the power level of the spell. The WP used to cast Transfer are spent and are not transferred. (General spell — usable by any discipline.)"
